VARIABLES = "X","P","True"
ZONE I=51, F=POINT
0.0	0.0	0.0
0.02	3.175893861020725e-08	3.115891823726781e-08
0.04	6.33925391989989e-08	6.219486645940877e-08
0.06	9.477595839686841e-08	9.298535995776612e-08
0.08	1.2578534018596222e-07	1.234088827213402e-07
0.1	1.5629830470319768e-07	1.5334536700496865e-07
0.12	1.8619443121767276e-07	1.8267666718186274e-07
0.14	2.1535573337627583e-07	2.112870260104205e-07
0.16	2.436671248419185e-07	2.390635314751754e-07
0.18	2.7101687348673037e-07	2.658965623989362e-07
0.2	2.97297042347722e-07	2.9168022106749263e-07
0.22	3.224039156046662e-07	3.1631275115951296e-07
0.24	3.4623840789905723e-07	3.3969693933225663e-07
0.26	3.687064553787527e-07	3.61740498878225e-07
0.28	3.8971938692502474e-07	3.823564339386348e-07
0.3	4.0919427409695554e-07	4.014633828363271e-07
0.32	4.2705425841210714e-07	4.1898593917313767e-07
0.34	4.4322885467183843e-07	4.348549494244993e-07
0.36	4.576542291341823e-07	4.490077858568112e-07
0.38	4.7027345143646264e-07	4.613885936904909e-07
0.4	4.810367192734267e-07	4.7194851153327197e-07
0.42	4.899015549441911e-07	4.806458642137964e-07
0.44	4.968329729923218e-07	4.874463272544769e-07
0.46	5.018036182774463e-07	4.923230623345276e-07
0.48	5.047938739334962e-07	4.95256823208556e-07
0.5	5.057919387875148e-07	4.962360316627003e-07
0.52	5.047938739334957e-07	4.952568232085496e-07
0.54	5.018036182774454e-07	4.923230623345147e-07
0.56	4.968329729923205e-07	4.874463272544576e-07
0.58	4.899015549441894e-07	4.806458642137709e-07
0.6	4.810367192734245e-07	4.7194851153324026e-07
0.62	4.702734514364601e-07	4.613885936904531e-07
0.64	4.576542291341793e-07	4.490077858567675e-07
0.66	4.4322885467183504e-07	4.3485494942444986e-07
0.68	4.2705425841210344e-07	4.189859391730826e-07
0.7000000000000001	4.091942740969514e-07	4.014633828362669e-07
0.72	3.897193869250203e-07	3.823564339385694e-07
0.74	3.6870645537874806e-07	3.617404988781547e-07
0.76	3.462384078990526e-07	3.3969693933218167e-07
0.78	3.2240391560466166e-07	3.163127511594338e-07
0.8	2.972970423477174e-07	2.9168022106740956e-07
0.8200000000000001	2.710168734867259e-07	2.6589656239884954e-07
0.84	2.4366712484191423e-07	2.3906353147508524e-07
0.86	2.1535573337627183e-07	2.1128702601032768e-07
0.88	1.8619443121766916e-07	1.8267666718176713e-07
0.9	1.562983047031946e-07	1.5334536700487092e-07
0.92	1.257853401859597e-07	1.2340888272124092e-07
0.9400000000000001	9.477595839686652e-08	9.298535995766522e-08
0.96	6.339253919899763e-08	6.219486645930667e-08
0.98	3.1758938610206605e-08	3.115891823716535e-08
1.0	0.0	-1.0263307792852243e-19
