x,numerical,analytical,abs_error
0,1.01628,1,0.0162837
0.02,1.03256,1.01644,0.0161218
0.04,1.04884,1.03288,0.0159603
0.06,1.0651,1.0493,0.0158025
0.08,1.08134,1.06569,0.0156514
0.1,1.09756,1.08205,0.0155097
0.12,1.11375,1.09837,0.0153795
0.14,1.1299,1.11463,0.0152627
0.16,1.14599,1.13083,0.0151608
0.18,1.16201,1.14693,0.0150748
0.2,1.17794,1.16294,0.0150054
0.22,1.19377,1.17882,0.0149531
0.24,1.20947,1.19455,0.014918
0.26,1.22501,1.21011,0.0148997
0.28,1.24037,1.22548,0.0148977
0.3,1.25553,1.24061,0.0149114
0.32,1.27043,1.25549,0.0149396
0.34,1.28506,1.27008,0.0149813
0.36,1.29937,1.28434,0.0150351
0.38,1.31333,1.29823,0.0150994
0.4,1.32689,1.31172,0.0151728
0.42,1.34002,1.32476,0.0152534
0.44,1.35266,1.33732,0.0153396
0.46,1.36479,1.34936,0.0154295
0.48,1.37635,1.36083,0.0155214
0.5,1.38731,1.3717,0.0156133
0.52,1.39762,1.38192,0.0157035
0.54,1.40724,1.39145,0.0157903
0.56,1.41614,1.40027,0.0158719
0.58,1.42427,1.40833,0.0159466
0.6,1.43161,1.4156,0.016013
0.62,1.43813,1.42206,0.0160696
0.64,1.44379,1.42767,0.0161149
0.66,1.44857,1.43242,0.0161476
0.68,1.45246,1.43629,0.0161667
0.7,1.45544,1.43927,0.016171
0.72,1.45749,1.44133,0.0161597
0.74,1.45862,1.44249,0.0161319
0.76,1.45881,1.44273,0.0160869
0.78,1.45808,1.44206,0.0160241
0.8,1.45644,1.44049,0.0159432
0.82,1.45388,1.43804,0.0158438
0.84,1.45045,1.43472,0.0157257
0.86,1.44614,1.43055,0.0155888
0.88,1.441,1.42557,0.0154332
0.9,1.43506,1.4198,0.015259
0.92,1.42834,1.41328,0.0150664
0.94,1.4209,1.40604,0.0148559
0.96,1.41277,1.39814,0.0146279
0.98,1.40399,1.38961,0.0143829
1,1.39462,1.3805,0.0141217
1.02,1.38471,1.37087,0.0138449
1.04,1.37431,1.36076,0.0135534
1.06,1.36347,1.35022,0.013248
1.08,1.35225,1.33932,0.0129298
1.1,1.3407,1.32811,0.0125997
1.12,1.32889,1.31663,0.0122588
1.14,1.31685,1.30494,0.0119083
1.16,1.30465,1.29311,0.0115492
1.18,1.29235,1.28117,0.0111828
1.2,1.27999,1.26918,0.0108103
1.22,1.26762,1.25718,0.0104328
1.24,1.25529,1.24524,0.0100517
1.26,1.24305,1.23338,0.00966799
1.28,1.23094,1.22165,0.00928302
1.3,1.21899,1.2101,0.00889791
1.32,1.20726,1.19875,0.00851383
1.34,1.19577,1.18763,0.00813189
1.36,1.18455,1.17679,0.00775314
1.38,1.17362,1.16625,0.00737862
1.4,1.16303,1.15602,0.00700928
1.42,1.15278,1.14613,0.00664603
1.44,1.14289,1.1366,0.00628969
1.46,1.13339,1.12744,0.00594103
1.48,1.12427,1.11867,0.00560073
1.5,1.11556,1.11029,0.0052694
1.52,1.10725,1.1023,0.00494757
1.54,1.09935,1.09472,0.00463569
1.56,1.09187,1.08753,0.00433411
1.58,1.08479,1.08075,0.00404311
1.6,1.07813,1.07437,0.00376289
1.62,1.07187,1.06838,0.00349356
1.64,1.06601,1.06278,0.00323516
1.66,1.06054,1.05756,0.00298764
1.68,1.05546,1.05271,0.00275087
1.7,1.05075,1.04822,0.00252467
1.72,1.0464,1.04409,0.00230877
1.74,1.0424,1.0403,0.00210286
1.76,1.03875,1.03684,0.00190653
1.78,1.03543,1.03371,0.00171937
1.8,1.03243,1.03089,0.00154086
1.82,1.02974,1.02837,0.00137049
1.84,1.02735,1.02615,0.00120768
1.86,1.02526,1.0242,0.00105181
1.88,1.02344,1.02254,0.00090227
1.9,1.0219,1.02114,0.000758394
1.92,1.02063,1.02001,0.000619516
1.94,1.01962,1.01913,0.000484963
1.96,1.01887,1.01851,0.000354057
1.98,1.01837,1.01814,0.000226129
2,1.01812,1.01802,0.000100521
