x,numerical,analytical,error
0.949711,3.81155,3.80776,0.00379174
0.956,3.81636,3.8126,0.0037624
0.96229,3.82117,3.81744,0.00373255
0.968579,3.82598,3.82228,0.00370218
0.974869,3.83079,3.82712,0.00367132
0.981158,3.83559,3.83195,0.00363995
0.987448,3.8404,3.83679,0.00360809
0.993737,3.84521,3.84163,0.00357575
1.00003,3.85001,3.84647,0.00354292
1.00632,3.85482,3.85131,0.00350963
1.01261,3.85962,3.85615,0.00347588
1.01889,3.86443,3.86099,0.00344167
1.02518,3.86923,3.86582,0.00340703
1.03147,3.87403,3.87066,0.00337195
1.03776,3.87884,3.8755,0.00333645
1.04405,3.88364,3.88034,0.00330053
1.05034,3.88844,3.88518,0.00326423
1.05663,3.89324,3.89002,0.00322753
1.06292,3.89804,3.89485,0.00319046
1.06921,3.90285,3.89969,0.00315304
1.0755,3.90765,3.90453,0.00311526
1.08179,3.91245,3.90937,0.00307716
1.08808,3.91725,3.91421,0.00303873
1.09437,3.92205,3.91905,0.00300001
1.10066,3.92685,3.92388,0.00296099
1.10695,3.93165,3.92872,0.00292171
1.11324,3.93644,3.93356,0.00288217
1.11953,3.94124,3.9384,0.00284239
1.12582,3.94604,3.94324,0.00280239
1.13211,3.95084,3.94808,0.00276218
1.13839,3.95564,3.95292,0.00272179
1.14468,3.96044,3.95775,0.00268123
1.15097,3.96523,3.96259,0.00264051
1.15726,3.97003,3.96743,0.00259966
1.16355,3.97483,3.97227,0.0025587
1.16984,3.97963,3.97711,0.00251763
1.17613,3.98442,3.98195,0.00247649
1.18242,3.98922,3.98678,0.00243528
1.18871,3.99402,3.99162,0.00239404
1.195,3.99881,3.99646,0.00235277
1.20129,4.00361,4.0013,0.00231149
1.20758,4.00841,4.00614,0.00227023
1.21387,4.01321,4.01098,0.00222901
1.22016,4.018,4.01582,0.00218783
1.22645,4.0228,4.02065,0.00214673
1.23274,4.0276,4.02549,0.00210571
1.23903,4.0324,4.03033,0.0020648
1.24532,4.03719,4.03517,0.00202401
1.25161,4.04199,4.04001,0.00198337
1.25789,4.04679,4.04485,0.00194289
1.26418,4.05159,4.04968,0.00190259
1.27047,4.05639,4.05452,0.00186249
1.27676,4.06118,4.05936,0.00182259
1.28305,4.06598,4.0642,0.00178293
1.28934,4.07078,4.06904,0.00174352
1.29563,4.07558,4.07388,0.00170437
1.30192,4.08038,4.07871,0.00166549
1.30821,4.08518,4.08355,0.00162691
1.3145,4.08998,4.08839,0.00158865
1.32079,4.09478,4.09323,0.0015507
1.32708,4.09958,4.09807,0.00151309
1.33337,4.10438,4.10291,0.00147584
1.33966,4.10918,4.10775,0.00143895
1.34595,4.11399,4.11258,0.00140244
1.35224,4.11879,4.11742,0.00136632
1.35853,4.12359,4.12226,0.0013306
1.36482,4.12839,4.1271,0.0012953
1.37111,4.1332,4.13194,0.00126043
1.37739,4.138,4.13678,0.00122599
1.38368,4.14281,4.14161,0.00119199
1.38997,4.14761,4.14645,0.00115845
1.39626,4.15242,4.15129,0.00112538
1.40255,4.15722,4.15613,0.00109277
1.40884,4.16203,4.16097,0.00106065
1.41513,4.16684,4.16581,0.00102901
1.42142,4.17164,4.17064,0.000997871
1.42771,4.17645,4.17548,0.000967228
1.434,4.18126,4.18032,0.000937091
1.44029,4.18607,4.18516,0.000907465
1.44658,4.19088,4.19,0.000878353
1.45287,4.19569,4.19484,0.000849761
1.45916,4.2005,4.19968,0.000821691
1.46545,4.20531,4.20451,0.000794146
1.47174,4.21012,4.20935,0.000767128
1.47803,4.21493,4.21419,0.000740639
1.48432,4.21974,4.21903,0.000714681
1.49061,4.22456,4.22387,0.000689255
1.49689,4.22937,4.22871,0.00066436
1.50318,4.23418,4.23354,0.000639996
1.50947,4.239,4.23838,0.000616163
1.51576,4.24381,4.24322,0.00059286
1.52205,4.24863,4.24806,0.000570084
1.52834,4.25345,4.2529,0.000547835
1.53463,4.25826,4.25774,0.000526109
1.54092,4.26308,4.26258,0.000504905
1.54721,4.2679,4.26741,0.000484217
1.5535,4.27272,4.27225,0.000464044
1.55979,4.27753,4.27709,0.00044438
1.56608,4.28235,4.28193,0.000425222
1.57237,4.28717,4.28677,0.000406565
