x,numerical,analytical,abs_error
0,1.0001,1,9.5388e-05
0.02,1.00022,1.00012,9.80948e-05
0.04,1.0004,1.00027,0.000126787
0.06,1.00069,1.0005,0.000184726
0.08,1.00114,1.00086,0.000279705
0.1,1.00185,1.00143,0.000424076
0.12,1.00294,1.00231,0.000634929
0.14,1.00458,1.00364,0.000934208
0.16,1.00698,1.00563,0.00134858
0.18,1.01044,1.00854,0.0019088
0.2,1.01532,1.01267,0.00264842
0.22,1.02205,1.01844,0.00360151
0.24,1.03112,1.02632,0.00479952
0.26,1.04309,1.03682,0.00626716
0.28,1.05854,1.05053,0.00801759
0.3,1.07807,1.06802,0.0100474
0.32,1.10219,1.08986,0.012332
0.34,1.13134,1.11652,0.0148223
0.36,1.1658,1.14836,0.0174433
0.38,1.20564,1.18554,0.0200957
0.4,1.25068,1.22802,0.0226604
0.42,1.30049,1.27548,0.0250067
0.44,1.35435,1.32735,0.0270024
0.46,1.4113,1.38277,0.0285263
0.48,1.47018,1.4407,0.0294805
0.5,1.5297,1.4999,0.0298011
0.52,1.58854,1.55908,0.0294662
0.54,1.6454,1.6169,0.0284994
0.56,1.69909,1.67212,0.0269687
0.58,1.74862,1.72363,0.0249811
0.6,1.79321,1.77054,0.022673
0.62,1.83234,1.81214,0.0201988
0.64,1.86571,1.848,0.0177186
0.66,1.89323,1.87785,0.015387
0.68,1.91495,1.90161,0.0133433
0.7,1.93101,1.91931,0.0117045
0.72,1.94159,1.93103,0.010561
0.74,1.94684,1.93686,0.00997393
0.76,1.94684,1.93686,0.00997393
0.78,1.94159,1.93103,0.010561
0.8,1.93101,1.91931,0.0117045
0.82,1.91495,1.90161,0.0133433
0.84,1.89323,1.87785,0.015387
0.86,1.86571,1.848,0.0177186
0.88,1.83234,1.81214,0.0201988
0.9,1.79321,1.77054,0.022673
0.92,1.74862,1.72363,0.0249811
0.94,1.69909,1.67212,0.0269687
0.96,1.6454,1.6169,0.0284994
0.98,1.58854,1.55908,0.0294662
1,1.5297,1.4999,0.0298011
1.02,1.47018,1.4407,0.0294805
1.04,1.4113,1.38277,0.0285263
1.06,1.35435,1.32735,0.0270024
1.08,1.30049,1.27548,0.0250067
1.1,1.25068,1.22802,0.0226604
1.12,1.20564,1.18554,0.0200957
1.14,1.1658,1.14836,0.0174433
1.16,1.13134,1.11652,0.0148223
1.18,1.10219,1.08986,0.012332
1.2,1.07807,1.06802,0.0100474
1.22,1.05854,1.05053,0.00801759
1.24,1.04309,1.03682,0.00626716
1.26,1.03112,1.02632,0.00479951
1.28,1.02205,1.01844,0.00360148
1.3,1.01532,1.01267,0.00264837
1.32,1.01045,1.00854,0.00190869
1.34,1.00698,1.00564,0.00134832
1.36,1.00458,1.00365,0.000933665
1.38,1.00294,1.00231,0.000633805
1.4,1.00186,1.00143,0.000421804
1.42,1.00115,1.00087,0.000275214
1.44,1.0007,1.00052,0.000176055
1.46,1.00041,1.0003,0.000110419
1.48,1.00024,1.00017,6.78981e-05
1.5,1.00014,1.0001,4.09342e-05
1.52,1.00008,1.00005,2.41946e-05
1.54,1.00004,1.00003,1.40199e-05
1.56,1.00002,1.00001,7.96437e-06
1.58,1.00001,1.00001,4.4353e-06
1.6,1.00001,1,2.42129e-06
1.62,1,1,1.29571e-06
1.64,1,1,6.79666e-07
1.66,1,1,3.49461e-07
1.68,1,1,1.76121e-07
1.7,1,1,8.70012e-08
1.72,1,1,4.21253e-08
1.74,1,1,1.99924e-08
1.76,1,1,9.30033e-09
1.78,1,1,4.24086e-09
1.8,1,1,1.89559e-09
1.82,1,1,8.30601e-10
1.84,1,1,3.56795e-10
1.86,1,1,1.50262e-10
1.88,1,1,6.20473e-11
1.9,1,1,2.51228e-11
1.92,1,1,9.97602e-12
1.94,1,1,3.88667e-12
1.96,1,1,1.4897e-12
1.98,1,1,5.72209e-13
2,1,1,2.47136e-13
