x,numerical
2.00634,4.62051
2.01263,4.62535
2.01892,4.63019
2.02521,4.63503
2.0315,4.63987
2.03779,4.64471
2.04408,4.64954
2.05037,4.65438
2.05666,4.65922
2.06295,4.66406
2.06924,4.6689
2.07553,4.67374
2.08182,4.67858
2.08811,4.68342
2.0944,4.68826
2.10068,4.69309
2.10697,4.69793
2.11326,4.70277
2.11955,4.70761
2.12584,4.71245
2.13213,4.71729
2.13842,4.72213
2.14471,4.72697
2.151,4.7318
2.15729,4.73664
2.16358,4.74148
2.16987,4.74632
2.17616,4.75116
2.18245,4.756
2.18874,4.76084
2.19503,4.76567
2.20132,4.77051
2.20761,4.77535
2.2139,4.78019
2.22018,4.78503
2.22647,4.78987
2.23276,4.7947
2.23905,4.79954
2.24534,4.80438
2.25163,4.80922
2.25792,4.81406
2.26421,4.8189
2.2705,4.82373
2.27679,4.82857
2.28308,4.83341
2.28937,4.83825
2.29566,4.84309
2.30195,4.84793
2.30824,4.85277
2.31453,4.8576
2.32082,4.86244
2.32711,4.86728
2.3334,4.87212
2.33968,4.87696
2.34597,4.8818
2.35226,4.88663
2.35855,4.89147
2.36484,4.89631
2.37113,4.90115
2.37742,4.90599
2.38371,4.91083
2.39,4.91566
2.39629,4.9205
2.40258,4.92534
2.40887,4.93018
2.41516,4.93502
2.42145,4.93986
2.42774,4.94469
2.43403,4.94953
2.44032,4.95437
2.44661,4.95921
2.4529,4.96405
2.45918,4.96889
2.46547,4.97372
2.47176,4.97856
2.47805,4.9834
2.48434,4.98824
2.49063,4.99308
2.49692,4.99792
2.50321,5.00275
2.5095,5.00759
2.51579,5.01243
2.52208,5.01727
2.52837,5.02211
2.53466,5.02695
2.54095,5.03178
2.54724,5.03662
2.55353,5.04146
2.55982,5.0463
2.56611,5.05114
2.5724,5.05598
2.57868,5.06081
2.58497,5.06565
2.59126,5.07049
2.59755,5.07533
2.60384,5.08017
2.61013,5.08501
2.61642,5.08984
2.62271,5.09468
2.629,5.09952
2.63529,5.10436
2.64158,5.1092
2.64787,5.11404
2.65416,5.11887
2.66045,5.12371
2.66674,5.12855
2.67303,5.13339
2.67932,5.13823
2.68561,5.14307
2.6919,5.1479
2.69818,5.15274
2.70447,5.15758
2.71076,5.16242
2.71705,5.16726
2.72334,5.1721
2.72963,5.17693
2.73592,5.18177
2.74221,5.18661
2.7485,5.19145
2.75479,5.19629
2.76108,5.20113
2.76737,5.20596
2.77366,5.2108
2.77995,5.21564
2.78624,5.22048
2.79253,5.22532
2.79882,5.23016
2.80511,5.23499
2.8114,5.23983
2.81768,5.24467
2.82397,5.24951
2.83026,5.25435
2.83655,5.25919
2.84284,5.26402
2.84913,5.26886
2.85542,5.2737
2.86171,5.27854
2.868,5.28338
2.87429,5.28822
2.88058,5.29305
2.88687,5.29789
2.89316,5.30273
2.89945,5.30757
2.90574,5.31241
2.91203,5.31725
2.91832,5.32208
2.92461,5.32692
2.9309,5.33176
2.93718,5.3366
2.94347,5.34144
2.94976,5.34628
2.95605,5.35111
2.96234,5.35595
2.96863,5.36079
2.97492,5.36563
2.98121,5.37047
2.9875,5.37531
2.99379,5.38014
3.00008,5.38498
3.00637,5.38982
3.01266,5.39466
3.01895,5.3995
3.02524,5.40434
3.03153,5.40917
3.03782,5.41401
3.04411,5.41885
3.0504,5.42369
3.05668,5.42853
3.06297,5.43337
3.06926,5.4382
3.07555,5.44304
3.08184,5.44788
3.08813,5.45272
3.09442,5.45756
3.10071,5.4624
3.107,5.46723
3.11329,5.47207
3.11958,5.47691
3.12587,5.48175
3.13216,5.48659
3.13845,5.49143
3.14474,5.49626
3.15103,5.5011
3.15732,5.50594
3.16361,5.51078
3.1699,5.51562
3.17618,5.52046
3.18247,5.52529
3.18876,5.53013
3.19505,5.53497
3.20134,5.53981
3.20763,5.54465
3.21392,5.54949
3.22021,5.55432
3.2265,5.55916
3.23279,5.564
3.23908,5.56884
3.24537,5.57368
3.25166,5.57852
3.25795,5.58335
3.26424,5.58819
3.27053,5.59303
3.27682,5.59787
3.28311,5.60271
3.2894,5.60755
3.29568,5.61238
3.30197,5.61722
3.30826,5.62206
3.31455,5.6269
3.32084,5.63174
3.32713,5.63658
3.33342,5.64141
3.33971,5.64625
3.346,5.65109
3.35229,5.65593
3.35858,5.66077
3.36487,5.66561
3.37116,5.67044
3.37745,5.67528
3.38374,5.68012
3.39003,5.68496
3.39632,5.6898
3.40261,5.69464
3.4089,5.69947
3.41518,5.70431
3.42147,5.70915
3.42776,5.71399
3.43405,5.71883
3.44034,5.72367
3.44663,5.7285
3.45292,5.73334
3.45921,5.73818
3.4655,5.74302
3.47179,5.74786
3.47808,5.7527
3.48437,5.75753
3.49066,5.76237
3.49695,5.76721
3.50324,5.77205
3.50953,5.77689
3.51582,5.78173
3.52211,5.78656
3.5284,5.7914
3.53468,5.79624
3.54097,5.80108
3.54726,5.80592
3.55355,5.81075
3.55984,5.81559
3.56613,5.82043
3.57242,5.82527
3.57871,5.83011
3.585,5.83495
3.59129,5.83978
3.59758,5.84462
3.60387,5.84946
3.61016,5.8543
3.61645,5.85914
3.62274,5.86397
3.62903,5.86881
3.63532,5.87365
3.64161,5.87849
3.6479,5.88333
3.65418,5.88816
3.66047,5.893
3.66676,5.89784
3.67305,5.90268
3.67934,5.90751
3.68563,5.91235
3.69192,5.91719
3.69821,5.92203
3.7045,5.92686
3.71079,5.9317
3.71708,5.93654
3.72337,5.94137
3.72966,5.94621
3.73595,5.95104
3.74224,5.95588
3.74853,5.96071
3.75482,5.96555
3.76111,5.97038
3.7674,5.97521
3.77368,5.98005
3.77997,5.98488
3.78626,5.98971
3.79255,5.99454
3.79884,5.99936
3.80513,6.00419
3.81142,6.00901
3.81771,6.01384
3.824,6.01866
3.83029,6.02347
3.83658,6.02829
3.84287,6.0331
3.84916,6.03791
3.85545,6.04271
3.86174,6.04751
3.86803,6.0523
3.87432,6.05708
3.88061,6.06186
3.8869,6.06663
3.89318,6.07139
3.89947,6.07614
3.90576,6.08088
3.91205,6.0856
3.91834,6.0903
3.92463,6.09499
3.93092,6.09965
3.93721,6.10429
3.9435,6.10891
3.94979,6.11349
3.95608,6.11804
3.96237,6.12254
3.96866,6.127
3.97495,6.1314
3.98124,6.13574
3.98753,6.14002
3.99382,6.14421
4.00011,6.14832
4.0064,6.15232
4.01268,6.1562
4.01897,6.15995
4.02526,6.16355
4.03155,6.16697
4.03784,6.1702
4.04413,6.1732
4.05042,6.17594
4.05671,6.1784
4.063,6.18052
4.06929,6.18226
4.07558,6.18357
4.08187,6.1844
4.08816,6.18467
4.09445,6.1843
4.10074,6.18322
4.10703,6.18133
4.11332,6.17851
4.11961,6.17465
4.1259,6.1696
4.13218,6.16321
4.13847,6.1553
4.14476,6.14569
4.15105,6.13415
4.15734,6.12043
4.16363,6.10429
4.16992,6.08541
4.17621,6.06347
4.1825,6.03814
4.18879,6.00901
4.19508,5.97569
4.20137,5.93773
4.20766,5.89469
4.21395,5.84609
4.22024,5.79144
4.22653,5.73027
4.23282,5.6621
4.23911,5.58651
4.2454,5.5031
4.25168,5.41156
4.25797,5.31168
4.26426,5.20335
4.27055,5.08661
4.27684,4.9617
4.28313,4.82901
4.28942,4.68915
4.29571,4.54293
4.302,4.39138
4.30829,4.23568
4.31458,4.07718
4.32087,3.91735
4.32716,3.75769
4.33345,3.59974
4.33974,3.44497
4.34603,3.29474
4.35232,3.15028
4.35861,3.01263
4.3649,2.88261
4.37118,2.76082
4.37747,2.64767
4.38376,2.54334
4.39005,2.44784
4.39634,2.361
4.40263,2.28257
4.40892,2.21214
4.41521,2.14926
4.4215,2.09344
4.42779,2.04413
4.43408,2.00081
4.44037,1.96294
4.44666,1.93
4.45295,1.90151
4.45924,1.87699
4.46553,1.85604
4.47182,1.83824
4.47811,1.82324
4.4844,1.81072
4.49068,1.80038
4.49697,1.79197
4.50326,1.78524
4.50955,1.78
4.51584,1.77605
4.52213,1.77323
4.52842,1.77141
4.53471,1.77045
4.541,1.77025
4.54729,1.7707
4.55358,1.77172
4.55987,1.77325
4.56616,1.77521
4.57245,1.77755
4.57874,1.78021
4.58503,1.78316
4.59132,1.78636
4.59761,1.78978
4.6039,1.79338
