x,numerical,analytical,abs_error
0,1.00487,1,0.00487026
0.02,1.00992,1.00542,0.00450187
0.04,1.01532,1.01102,0.00430081
0.06,1.02126,1.017,0.00425663
0.08,1.02791,1.02355,0.00435919
0.1,1.03544,1.03084,0.00459867
0.12,1.04403,1.03906,0.00496542
0.14,1.05384,1.04839,0.00544981
0.16,1.06503,1.05899,0.00604199
0.18,1.07775,1.07102,0.00673156
0.2,1.09213,1.08462,0.00750741
0.22,1.10829,1.09993,0.00835742
0.24,1.12631,1.11704,0.00926834
0.26,1.14626,1.13603,0.0102257
0.28,1.16817,1.15696,0.011214
0.3,1.19204,1.17983,0.0122166
0.32,1.21783,1.20461,0.0132162
0.34,1.24544,1.23125,0.0141951
0.36,1.27476,1.25962,0.015136
0.38,1.30561,1.28958,0.016022
0.4,1.33777,1.32093,0.0168379
0.42,1.371,1.35343,0.0175701
0.44,1.405,1.38679,0.0182077
0.46,1.43945,1.4207,0.0187429
0.48,1.47399,1.45482,0.0191713
0.5,1.50825,1.48876,0.0194922
0.52,1.54185,1.52214,0.0197087
0.54,1.57438,1.55455,0.0198278
0.56,1.60546,1.5856,0.0198598
0.58,1.6347,1.61488,0.0198181
0.6,1.66173,1.64202,0.0197182
0.62,1.68622,1.66664,0.0195775
0.64,1.70783,1.68842,0.0194139
0.66,1.7263,1.70705,0.019245
0.68,1.74137,1.72228,0.0190874
0.7,1.75285,1.73389,0.0189554
0.72,1.76059,1.74173,0.0188606
0.74,1.76448,1.74567,0.0188112
0.76,1.76448,1.74567,0.0188112
0.78,1.76059,1.74173,0.0188606
0.8,1.75285,1.73389,0.0189554
0.82,1.74137,1.72228,0.0190873
0.84,1.7263,1.70705,0.019245
0.86,1.70783,1.68842,0.0194138
0.88,1.68622,1.66664,0.0195774
0.9,1.66174,1.64202,0.0197181
0.92,1.6347,1.61488,0.0198179
0.94,1.60546,1.5856,0.0198595
0.96,1.57438,1.55455,0.0198274
0.98,1.54185,1.52214,0.019708
1,1.50825,1.48876,0.0194911
1.02,1.47399,1.45482,0.0191696
1.04,1.43945,1.42071,0.0187403
1.06,1.40501,1.3868,0.0182039
1.08,1.37101,1.35344,0.0175643
1.1,1.33778,1.32095,0.0168294
1.12,1.30562,1.28961,0.0160096
1.14,1.27478,1.25966,0.0151179
1.16,1.24548,1.23131,0.0141691
1.18,1.21788,1.2047,0.0131791
1.2,1.19212,1.17996,0.0121641
1.22,1.16828,1.15714,0.0111404
1.24,1.14642,1.1363,0.0101234
1.26,1.12653,1.11741,0.00912719
1.28,1.1086,1.10044,0.00816441
1.3,1.09257,1.08532,0.00724571
1.32,1.07835,1.07197,0.00637973
1.34,1.06586,1.06028,0.00557296
1.36,1.05496,1.05013,0.00482984
1.38,1.04554,1.04139,0.00415284
1.4,1.03747,1.03392,0.00354263
1.42,1.0306,1.0276,0.00299832
1.44,1.02481,1.0223,0.00251771
1.46,1.01997,1.01788,0.00209757
1.48,1.01596,1.01423,0.00173387
1.5,1.01266,1.01124,0.00142203
1.52,1.00997,1.00881,0.00115717
1.54,1.00779,1.00685,0.000934313
1.56,1.00604,1.00529,0.00074851
1.58,1.00465,1.00406,0.000595001
1.6,1.00355,1.00308,0.000469309
1.62,1.0027,1.00233,0.000367304
1.64,1.00203,1.00174,0.000285248
1.66,1.00152,1.0013,0.000219813
1.68,1.00112,1.00096,0.000168082
1.7,1.00083,1.0007,0.000127535
1.72,1.0006,1.00051,9.6025e-05
1.74,1.00044,1.00037,7.17436e-05
1.76,1.00031,1.00026,5.31899e-05
1.78,1.00022,1.00019,3.91309e-05
1.8,1.00016,1.00013,2.8566e-05
1.82,1.00011,1.00009,2.0692e-05
1.84,1.00008,1.00006,1.4871e-05
1.86,1.00005,1.00004,1.06015e-05
1.88,1.00004,1.00003,7.49315e-06
1.9,1.00003,1.00002,5.24453e-06
1.92,1.00002,1.00001,3.62461e-06
1.94,1.00001,1.00001,2.4568e-06
1.96,1.00001,1.00001,1.60572e-06
1.98,1.00001,1.00001,9.66002e-07
2,1.00001,1.00001,4.52705e-07
